,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
604,Gary Trent Jr.,SG,21,POR,59,8,21.4,3.1,7.1,.444,1.8,4.3,.425,1.3,2.8,.473,.572,0.6,0.8,.822,0.4,1.2,1.7,1.0,0.7,0.3,0.3,1.4,8.7
605,Allonzo Trier,PG,24,NYK,24,1,12.1,2.1,4.4,.481,0.8,2.2,.358,1.3,2.2,.604,.571,1.4,1.8,.791,0.3,1.0,1.2,1.2,0.1,0.2,0.9,1.2,6.5
606,P.J. Tucker,PF,34,HOU,69,69,34.5,2.5,5.9,.421,1.5,4.1,.364,1.0,1.8,.553,.548,0.6,0.7,.813,1.6,5.2,6.8,1.6,1.1,0.5,1.0,3.2,7.1
607,Rayjon Tucker,SG,22,UTA,18,0,6.1,0.6,1.3,.417,0.1,0.6,.100,0.5,0.8,.643,.438,0.3,0.5,.667,0.2,0.7,0.8,0.2,0.1,0.0,0.4,0.6,1.5
608,Evan Turner,PG,31,ATL,19,0,13.2,1.3,3.5,.373,0.0,0.3,.000,1.3,3.3,.403,.373,0.6,0.7,.857,0.4,1.6,2.0,2.0,0.5,0.4,1.4,1.1,3.3
609,Myles Turner,C,23,IND,60,60,29.6,4.3,9.4,.459,1.4,4.1,.346,2.9,5.3,.547,.534,2.0,2.6,.755,1.3,5.2,6.5,1.1,0.8,2.2,1.3,2.6,12.0
610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,Jarrod Uthoff,SF,26,TOT,5,0,5.2,0.6,2.0,.300,0.0,0.8,.000,0.6,1.2,.500,.300,0.4,0.4,1.000,0.2,0.4,0.6,0.0,0.2,0.0,0.0,0.2,1.6
612,Jarrod Uthoff,SF,26,MEM,4,0,3.5,0.3,1.8,.143,0.0,1.0,.000,0.3,0.8,.333,.143,0.5,0.5,1.000,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.3,1.0
613,Jarrod Uthoff,F,26,WAS,1,0,12.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
614,Jonas Valančiūnas,C,27,MEM,68,68,26.3,6.1,10.5,.584,0.4,1.3,.341,5.7,9.2,.619,.605,2.1,2.8,.740,3.0,8.1,11.2,1.8,0.4,1.1,1.8,2.7,14.8
615,Denzel Valentine,SF,26,CHI,36,5,13.6,2.7,6.6,.409,1.3,3.8,.336,1.4,2.8,.510,.506,0.2,0.2,.750,0.3,1.8,2.1,1.2,0.7,0.2,0.7,1.4,6.8
616,Jarred Vanderbilt,SF-PF,20,TOT,11,0,4.2,0.5,0.7,.625,0.0,0.1,.000,0.5,0.6,.714,.625,0.2,0.2,1.000,0.3,0.5,0.8,0.2,0.3,0.1,0.6,0.5,1.1
617,Jarred Vanderbilt,SF,20,DEN,9,0,4.6,0.6,0.8,.714,0.0,0.0,,0.6,0.8,.714,.714,0.0,0.0,,0.3,0.6,0.9,0.2,0.3,0.1,0.8,0.7,1.1
618,Jarred Vanderbilt,PF,20,MIN,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,1.0,1.0,1.000,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0
619,Fred VanVleet,PG,25,TOR,53,53,35.9,6.0,14.4,.415,2.7,7.0,.391,3.2,7.4,.437,.510,3.1,3.7,.846,0.3,3.5,3.8,6.6,1.9,0.3,2.3,2.5,17.8
620,Gabe Vincent,PG,23,MIA,7,0,8.7,0.9,3.9,.222,0.6,2.9,.200,0.3,1.0,.286,.296,0.0,0.0,,0.0,0.6,0.6,0.7,0.1,0.0,0.0,0.7,2.3
621,Noah Vonleh,C-PF,24,TOT,34,1,10.8,1.5,2.6,.567,0.1,0.4,.200,1.4,2.2,.640,.583,0.7,0.9,.800,1.1,2.6,3.6,0.8,0.3,0.2,0.6,1.1,3.8
622,Noah Vonleh,C,24,MIN,29,1,12.0,1.6,3.0,.547,0.1,0.5,.143,1.6,2.5,.625,.558,0.8,1.0,.821,1.2,2.8,4.0,0.9,0.4,0.2,0.7,1.2,4.1
623,Noah Vonleh,PF,24,DEN,5,0,4.0,0.8,0.8,1.000,0.2,0.2,1.000,0.6,0.6,1.000,1.125,0.2,0.4,.500,0.6,1.0,1.6,0.2,0.0,0.0,0.4,0.4,2.0
624,Nikola Vučević,C,29,ORL,60,60,32.5,8.0,16.8,.475,1.6,4.7,.332,6.4,12.1,.530,.521,2.2,2.8,.784,2.3,8.6,11.0,3.6,0.9,0.8,1.4,2.2,19.7
625,Dean Wade,PF,23,CLE,12,0,5.9,0.8,1.1,.692,0.2,0.3,.500,0.6,0.8,.778,.769,0.0,0.1,.000,0.3,1.3,1.6,0.2,0.2,0.3,0.3,0.7,1.7
626,Moritz Wagner,C,22,WAS,43,5,18.5,3.3,6.0,.555,0.6,1.7,.329,2.7,4.3,.645,.602,1.7,2.1,.809,1.3,3.6,4.8,1.2,0.6,0.4,1.5,3.4,8.8
627,Dion Waiters,SG,28,TOT,8,0,19.3,3.5,9.5,.368,1.4,4.9,.282,2.1,4.6,.459,.441,1.6,1.9,.867,0.1,2.5,2.6,1.5,0.5,0.8,1.3,2.1,10.0
628,Dion Waiters,SG,28,MIA,3,0,14.0,3.3,8.7,.385,2.7,5.7,.471,0.7,3.0,.222,.538,0.0,0.3,.000,0.0,3.7,3.7,1.0,0.0,0.7,1.0,1.7,9.3
629,Dion Waiters,SG,28,LAL,5,0,22.4,3.6,10.0,.360,0.6,4.4,.136,3.0,5.6,.536,.390,2.6,2.8,.929,0.2,1.8,2.0,1.8,0.8,0.8,1.4,2.4,10.4
630,Kemba Walker,PG,29,BOS,55,55,31.2,6.7,16.0,.422,3.2,8.5,.380,3.5,7.5,.470,.523,3.7,4.3,.862,0.6,3.2,3.9,4.8,0.9,0.5,2.1,1.6,20.5
631,Lonnie Walker,SG,21,SAS,59,10,15.7,2.4,5.6,.429,0.6,1.6,.391,1.8,4.1,.444,.483,0.7,1.0,.712,0.4,1.8,2.2,1.0,0.5,0.2,0.6,1.3,6.1
632,Tyrone Wallace,SG,25,ATL,14,0,11.4,1.0,3.1,.318,0.1,1.1,.067,0.9,2.1,.448,.330,0.8,1.2,.647,0.2,1.4,1.6,0.9,0.5,0.1,0.7,1.4,2.9
633,Taurean Prince,SF,25,BRK,64,61,29.0,4.3,11.5,.376,2.3,6.7,.339,2.1,4.8,.429,.475,1.1,1.4,.798,0.8,5.2,6.0,1.8,0.9,0.4,2.0,2.5,12.1
634,Derrick Walton,PG,24,TOT,26,1,9.5,0.7,1.5,.462,0.4,0.9,.417,0.3,0.6,.533,.590,0.3,0.3,.778,0.1,0.5,0.6,1.0,0.3,0.0,0.2,0.8,2.0
635,Derrick Walton,PG,24,LAC,23,1,9.7,0.7,1.6,.472,0.4,0.9,.429,0.3,0.7,.533,.597,0.3,0.4,.778,0.1,0.6,0.7,1.0,0.2,0.0,0.2,0.8,2.2
636,Derrick Walton,PG,24,DET,3,0,8.7,0.3,1.0,.333,0.3,1.0,.333,0.0,0.0,,.500,0.0,0.0,,0.0,0.3,0.3,1.7,1.0,0.0,0.3,0.7,1.0
637,Brad Wanamaker,PG,30,BOS,69,1,19.3,2.3,5.1,.444,0.5,1.4,.364,1.8,3.7,.475,.494,1.8,1.9,.932,0.3,1.7,2.0,2.5,0.9,0.2,1.1,1.8,6.9
